alder,tilflytningskommune,fraflytningskommune,årstal,værdi_m,værdi_k
0-4 år,København,Hvidovre,2006,14,21
0-4 år,København,Hvidovre,2007,13,15
0-4 år,København,Hvidovre,2008,13,23
0-4 år,København,Hvidovre,2009,38,24
0-4 år,København,Hvidovre,2010,28,16
0-4 år,København,Hvidovre,2011,18,20
0-4 år,København,Hvidovre,2012,29,30
0-4 år,København,Hvidovre,2013,25,21
0-4 år,København,Hvidovre,2014,28,35
0-4 år,København,Hvidovre,2015,27,17
0-4 år,København,Hvidovre,2016,26,30
0-4 år,København,Hvidovre,2017,20,23
0-4 år,København,Høje-Taastrup,2006,18,14
0-4 år,København,Høje-Taastrup,2007,11,12
0-4 år,København,Høje-Taastrup,2008,15,9
0-4 år,København,Høje-Taastrup,2009,7,13
0-4 år,København,Høje-Taastrup,2010,20,17
0-4 år,København,Høje-Taastrup,2011,8,11
0-4 år,København,Høje-Taastrup,2012,16,11
0-4 år,København,Høje-Taastrup,2013,18,10
0-4 år,København,Høje-Taastrup,2014,15,15
0-4 år,København,Høje-Taastrup,2015,18,13
0-4 år,København,Høje-Taastrup,2016,18,20
0-4 år,København,Høje-Taastrup,2017,19,22
0-4 år,København,Ishøj,2006,2,8
0-4 år,København,Ishøj,2007,4,4
0-4 år,København,Ishøj,2008,5,5
0-4 år,København,Ishøj,2009,4,1
0-4 år,København,Ishøj,2010,4,6
0-4 år,København,Ishøj,2011,6,8
0-4 år,København,Ishøj,2012,8,10
0-4 år,København,Ishøj,2013,1,1
0-4 år,København,Ishøj,2014,4,5
0-4 år,København,Ishøj,2015,10,4
0-4 år,København,Ishøj,2016,6,4
0-4 år,København,Ishøj,2017,9,9
0-4 år,København,Lyngby-Taarbæk,2006,11,8
0-4 år,København,Lyngby-Taarbæk,2007,9,11
0-4 år,København,Lyngby-Taarbæk,2008,5,7
0-4 år,København,Lyngby-Taarbæk,2009,16,4
0-4 år,København,Lyngby-Taarbæk,2010,6,11
0-4 år,København,Lyngby-Taarbæk,2011,22,8
0-4 år,København,Lyngby-Taarbæk,2012,4,9
0-4 år,København,Lyngby-Taarbæk,2013,16,10
0-4 år,København,Lyngby-Taarbæk,2014,7,8
0-4 år,København,Lyngby-Taarbæk,2015,19,12
0-4 år,København,Lyngby-Taarbæk,2016,9,16
0-4 år,København,Lyngby-Taarbæk,2017,17,8
0-4 år,København,Rødovre,2006,11,10
0-4 år,København,Rødovre,2007,16,11
0-4 år,København,Rødovre,2008,15,11
0-4 år,København,Rødovre,2009,19,17
0-4 år,København,Rødovre,2010,16,11
0-4 år,København,Rødovre,2011,17,22
0-4 år,København,Rødovre,2012,11,12
0-4 år,København,Rødovre,2013,30,21
0-4 år,København,Rødovre,2014,25,26
0-4 år,København,Rødovre,2015,12,13
0-4 år,København,Rødovre,2016,17,16
0-4 år,København,Rødovre,2017,17,9
0-4 år,København,Vallensbæk,2006,8,0
0-4 år,København,Vallensbæk,2007,3,2
0-4 år,København,Vallensbæk,2008,2,1
0-4 år,København,Vallensbæk,2009,4,1
0-4 år,København,Vallensbæk,2010,2,5
0-4 år,København,Vallensbæk,2011,9,5
0-4 år,København,Vallensbæk,2012,2,2
0-4 år,København,Vallensbæk,2013,5,8
0-4 år,København,Vallensbæk,2014,1,4
0-4 år,København,Vallensbæk,2015,4,3
0-4 år,København,Vallensbæk,2016,7,6
0-4 år,København,Vallensbæk,2017,6,7
0-4 år,København,Allerød,2006,1,2
0-4 år,København,Allerød,2007,1,3
0-4 år,København,Allerød,2008,3,3
0-4 år,København,Allerød,2009,2,0
0-4 år,København,Allerød,2010,1,3
0-4 år,København,Allerød,2011,1,4
0-4 år,København,Allerød,2012,5,4
0-4 år,København,Allerød,2013,3,2
0-4 år,København,Allerød,2014,3,1
0-4 år,København,Allerød,2015,1,2
0-4 år,København,Allerød,2016,2,3
0-4 år,København,Allerød,2017,3,2
0-4 år,København,Egedal,2006,2,8
0-4 år,København,Egedal,2007,4,5
0-4 år,København,Egedal,2008,4,4
0-4 år,København,Egedal,2009,0,3
0-4 år,København,Egedal,2010,7,7
0-4 år,København,Egedal,2011,6,5
0-4 år,København,Egedal,2012,5,10
0-4 år,København,Egedal,2013,8,8
0-4 år,København,Egedal,2014,7,7
0-4 år,København,Egedal,2015,2,1
0-4 år,København,Egedal,2016,6,8
0-4 år,København,Egedal,2017,6,5
0-4 år,København,Fredensborg,2006,9,8
0-4 år,København,Fredensborg,2007,6,7
0-4 år,København,Fredensborg,2008,10,5
0-4 år,København,Fredensborg,2009,7,4
0-4 år,København,Fredensborg,2010,8,8
0-4 år,København,Fredensborg,2011,6,5
0-4 år,København,Fredensborg,2012,8,10
0-4 år,København,Fredensborg,2013,4,4
0-4 år,København,Fredensborg,2014,13,2
0-4 år,København,Fredensborg,2015,7,2
0-4 år,København,Fredensborg,2016,5,8
0-4 år,København,Fredensborg,2017,8,8
0-4 år,København,Frederikssund,2006,5,7
0-4 år,København,Frederikssund,2007,3,4
0-4 år,København,Frederikssund,2008,3,4
0-4 år,København,Frederikssund,2009,5,2
0-4 år,København,Frederikssund,2010,6,8
0-4 år,København,Frederikssund,2011,3,4
0-4 år,København,Frederikssund,2012,4,8
0-4 år,København,Frederikssund,2013,11,4
0-4 år,København,Frederikssund,2014,11,6
0-4 år,København,Frederikssund,2015,9,2
0-4 år,København,Frederikssund,2016,6,8
0-4 år,København,Frederikssund,2017,3,3
0-4 år,København,Furesø,2006,9,7
0-4 år,København,Furesø,2007,6,3
0-4 år,København,Furesø,2008,7,5
0-4 år,København,Furesø,2009,8,7
0-4 år,København,Furesø,2010,13,10
0-4 år,København,Furesø,2011,13,6
0-4 år,København,Furesø,2012,9,10
0-4 år,København,Furesø,2013,11,4
0-4 år,København,Furesø,2014,8,3
0-4 år,København,Furesø,2015,5,9
0-4 år,København,Furesø,2016,4,4
0-4 år,København,Furesø,2017,7,9
0-4 år,København,Gribskov,2006,2,4
0-4 år,København,Gribskov,2007,8,4
0-4 år,København,Gribskov,2008,4,3
0-4 år,København,Gribskov,2009,8,2
0-4 år,København,Gribskov,2010,3,4
0-4 år,København,Gribskov,2011,3,5
0-4 år,København,Gribskov,2012,4,2
0-4 år,København,Gribskov,2013,7,4
0-4 år,København,Gribskov,2014,7,1
0-4 år,København,Gribskov,2015,2,6
0-4 år,København,Gribskov,2016,9,7
0-4 år,København,Gribskov,2017,7,7
0-4 år,København,Halsnæs,2006,4,4
0-4 år,København,Halsnæs,2007,4,1
0-4 år,København,Halsnæs,2008,2,4
0-4 år,København,Halsnæs,2009,2,1
0-4 år,København,Halsnæs,2010,2,2
0-4 år,København,Halsnæs,2011,6,4
0-4 år,København,Halsnæs,2012,2,5
0-4 år,København,Halsnæs,2013,1,2
0-4 år,København,Halsnæs,2014,0,4
0-4 år,København,Halsnæs,2015,2,1
0-4 år,København,Halsnæs,2016,4,1
0-4 år,København,Halsnæs,2017,1,1
0-4 år,København,Helsingør,2006,17,14
0-4 år,København,Helsingør,2007,10,10
0-4 år,København,Helsingør,2008,13,12
0-4 år,København,Helsingør,2009,15,7
0-4 år,København,Helsingør,2010,13,8
0-4 år,København,Helsingør,2011,5,7
0-4 år,København,Helsingør,2012,9,15
0-4 år,København,Helsingør,2013,14,17
0-4 år,København,Helsingør,2014,7,5
0-4 år,København,Helsingør,2015,8,8
0-4 år,København,Helsingør,2016,3,7
0-4 år,København,Helsingør,2017,11,12
0-4 år,København,Hillerød,2006,8,6
0-4 år,København,Hillerød,2007,9,12
0-4 år,København,Hillerød,2008,7,5
0-4 år,København,Hillerød,2009,5,6
0-4 år,København,Hillerød,2010,6,10
0-4 år,København,Hillerød,2011,5,1
0-4 år,København,Hillerød,2012,6,5
0-4 år,København,Hillerød,2013,6,5
0-4 år,København,Hillerød,2014,9,9
0-4 år,København,Hillerød,2015,5,10
0-4 år,København,Hillerød,2016,10,11
0-4 år,København,Hillerød,2017,2,9
0-4 år,København,Hørsholm,2006,2,0
0-4 år,København,Hørsholm,2007,5,4
0-4 år,København,Hørsholm,2008,2,7
0-4 år,København,Hørsholm,2009,3,2
0-4 år,København,Hørsholm,2010,1,0
0-4 år,København,Hørsholm,2011,2,3
0-4 år,København,Hørsholm,2012,4,2
0-4 år,København,Hørsholm,2013,2,4
0-4 år,København,Hørsholm,2014,5,2
0-4 år,København,Hørsholm,2015,5,6
