alder,tilflytningskommune,fraflytningskommune,årstal,værdi_m,værdi_k
0-4 år,Hvidovre,København,2006,55,53
0-4 år,Hvidovre,København,2007,71,42
0-4 år,Hvidovre,København,2008,44,51
0-4 år,Hvidovre,København,2009,57,58
0-4 år,Hvidovre,København,2010,75,71
0-4 år,Hvidovre,København,2011,73,83
0-4 år,Hvidovre,København,2012,83,79
0-4 år,Hvidovre,København,2013,73,76
0-4 år,Hvidovre,København,2014,110,102
0-4 år,Hvidovre,København,2015,111,115
0-4 år,Hvidovre,København,2016,85,62
0-4 år,Hvidovre,København,2017,93,86
0-4 år,Høje-Taastrup,København,2006,53,49
0-4 år,Høje-Taastrup,København,2007,39,43
0-4 år,Høje-Taastrup,København,2008,28,28
0-4 år,Høje-Taastrup,København,2009,35,17
0-4 år,Høje-Taastrup,København,2010,26,30
0-4 år,Høje-Taastrup,København,2011,32,32
0-4 år,Høje-Taastrup,København,2012,33,39
0-4 år,Høje-Taastrup,København,2013,31,41
0-4 år,Høje-Taastrup,København,2014,32,52
0-4 år,Høje-Taastrup,København,2015,53,63
0-4 år,Høje-Taastrup,København,2016,42,43
0-4 år,Høje-Taastrup,København,2017,42,42
0-4 år,Ishøj,København,2006,7,7
0-4 år,Ishøj,København,2007,9,12
0-4 år,Ishøj,København,2008,9,9
0-4 år,Ishøj,København,2009,16,15
0-4 år,Ishøj,København,2010,9,12
0-4 år,Ishøj,København,2011,14,17
0-4 år,Ishøj,København,2012,5,16
0-4 år,Ishøj,København,2013,15,11
0-4 år,Ishøj,København,2014,17,16
0-4 år,Ishøj,København,2015,22,12
0-4 år,Ishøj,København,2016,16,10
0-4 år,Ishøj,København,2017,23,22
0-4 år,Lyngby-Taarbæk,København,2006,50,45
0-4 år,Lyngby-Taarbæk,København,2007,48,32
0-4 år,Lyngby-Taarbæk,København,2008,59,50
0-4 år,Lyngby-Taarbæk,København,2009,91,69
0-4 år,Lyngby-Taarbæk,København,2010,105,79
0-4 år,Lyngby-Taarbæk,København,2011,83,84
0-4 år,Lyngby-Taarbæk,København,2012,101,78
0-4 år,Lyngby-Taarbæk,København,2013,81,80
0-4 år,Lyngby-Taarbæk,København,2014,88,77
0-4 år,Lyngby-Taarbæk,København,2015,84,72
0-4 år,Lyngby-Taarbæk,København,2016,73,73
0-4 år,Lyngby-Taarbæk,København,2017,56,81
0-4 år,Rødovre,København,2006,42,37
0-4 år,Rødovre,København,2007,44,51
0-4 år,Rødovre,København,2008,52,40
0-4 år,Rødovre,København,2009,54,47
0-4 år,Rødovre,København,2010,58,47
0-4 år,Rødovre,København,2011,60,61
0-4 år,Rødovre,København,2012,53,67
0-4 år,Rødovre,København,2013,67,49
0-4 år,Rødovre,København,2014,61,63
0-4 år,Rødovre,København,2015,66,53
0-4 år,Rødovre,København,2016,65,62
0-4 år,Rødovre,København,2017,73,68
0-4 år,Vallensbæk,København,2006,11,9
0-4 år,Vallensbæk,København,2007,12,17
0-4 år,Vallensbæk,København,2008,38,28
0-4 år,Vallensbæk,København,2009,21,18
0-4 år,Vallensbæk,København,2010,22,19
0-4 år,Vallensbæk,København,2011,25,14
0-4 år,Vallensbæk,København,2012,29,12
0-4 år,Vallensbæk,København,2013,23,33
0-4 år,Vallensbæk,København,2014,19,24
0-4 år,Vallensbæk,København,2015,23,25
0-4 år,Vallensbæk,København,2016,27,19
0-4 år,Vallensbæk,København,2017,44,39
0-4 år,Allerød,København,2006,32,22
0-4 år,Allerød,København,2007,13,10
0-4 år,Allerød,København,2008,17,28
0-4 år,Allerød,København,2009,23,23
0-4 år,Allerød,København,2010,25,29
0-4 år,Allerød,København,2011,30,22
0-4 år,Allerød,København,2012,29,20
0-4 år,Allerød,København,2013,23,28
0-4 år,Allerød,København,2014,34,22
0-4 år,Allerød,København,2015,36,42
0-4 år,Allerød,København,2016,31,28
0-4 år,Allerød,København,2017,37,36
0-4 år,Egedal,København,2006,39,60
0-4 år,Egedal,København,2007,51,46
0-4 år,Egedal,København,2008,36,37
0-4 år,Egedal,København,2009,36,25
0-4 år,Egedal,København,2010,39,37
0-4 år,Egedal,København,2011,42,37
0-4 år,Egedal,København,2012,45,43
0-4 år,Egedal,København,2013,36,33
0-4 år,Egedal,København,2014,48,43
0-4 år,Egedal,København,2015,43,42
0-4 år,Egedal,København,2016,48,48
0-4 år,Egedal,København,2017,42,32
0-4 år,Fredensborg,København,2006,53,37
0-4 år,Fredensborg,København,2007,27,35
0-4 år,Fredensborg,København,2008,36,27
0-4 år,Fredensborg,København,2009,29,23
0-4 år,Fredensborg,København,2010,37,22
0-4 år,Fredensborg,København,2011,32,28
0-4 år,Fredensborg,København,2012,34,26
0-4 år,Fredensborg,København,2013,32,37
0-4 år,Fredensborg,København,2014,59,34
0-4 år,Fredensborg,København,2015,37,43
0-4 år,Fredensborg,København,2016,30,40
0-4 år,Fredensborg,København,2017,54,51
